Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
become_spain_title;Triunfa España!!;x;
become_spain_desc;The spanish people must be united under the same state. Now we can governate all spain and proclaim a nation for all the the spanish;x;
form_celtic_union_title;Ag na Ceiltigh ársa!;x;
form_celtic_union_desc;Now, that we have control of all the celts, we can to unite them in the same nation. For the ancient celts!!!;x;
reclaim_celtic_Union_title;Reclaim the celtic lands;x;
reclaim_celtic_Union_desc; Now that we are a superpower, we can unite into the celtic union and reclaim the lands of the ancient celts, to liberate them from the latin and british barbarians.;x;
claim_glc_title;Reclaim celtic Iberia;x;
claim_glc_desc;Now with the celtic union established, we can reclaim our legitimate lands on Iberia;x;
claim_brt_title;Reclaim Brittany;x;
claim_brt_desc;With England formed, it's time to expand to new frontiers, and kick the celtic barbarians of our british isles, starting with cornwall;x;
claim_cornwall_title;Claim Cornwall;x;
claim_cornwall_desc;Now with the celtic union established, we can reclaim our legitimate lands on Brittany;x;
form_portugal_title;Pela nossa terra!;x;
form_portugal_desc;Now that we have the control for all the lands where the Portuguese live, we can create a unificated state for all the portugese people;x;
unite_turkey_title;Anadolu Türkleri Tarafindan!;x;
unite_turkey_desc;We controlate all the lands of the turks in Anatolia,now we can create a state for them all, we will proclaim, the ottoman sultanate!!;x;
form_norway_title;Av Gamle Norge!!;x;
form_norway_desc;We have asserted control in all the Norwegian area, now we can form the country of norway and assert our sovereignty.;x;
unite_the_netherlands_title;De Eenwording van Nederland!;x;
unite_the_netherlands_desc;Now that we control all th Dutch territories, we can unite once for all the netherlands.;x;
form_france_title;En l'honneur de Charlemagne!;x;
form_france_desc;We control all the French lands, we can create a unificated french state. In honor of Charlemagne!;x;
unite_belgium_title;Pour une Belgique libre!!!;x;
unite_belgium_desc;Now that we have control of all the Belgian lands, we can unify them into the same state and proclaim a free Belgium once for all.;x;
unite_persia_title;Zandeh baad mperators buzrag Iran!!!;x;
unite_persia_desc;We controlate all the persian lands, now we can form the great persia and unite all them for the same monarch;x;
form_england_title;Long Live to England!!;x;
form_england_desc;Now that we control all the english territories, we can unite them into England, with the hope of unite all the british isles som day.;x;
form_ukraine_title;Ukrayina Shche ne Vtrachena!;x;
form_ukraine_desc;We control all the slav lands in the region called Ukraine, now can unify them and honor the kievan rus. Ukraine isn't lost yest!!;x;
unite_canada_title;Oh, Canada;x;
unite_canada_desc;We control all the canadian lands, now we can create a unificated state called Canada.;x;
form_egypt_title;Reunite the Ancient Egypt;x;
form_egypt_desc;We control all the lands where ever a Egiptian Pharaoh ruled, so, we can proclamate a new and modern Egiptian State.;x;
form_sokoto_title;Unite the caliphate of Africa;x;
form_sokoto_desc;With all the lands of Sokoto, we can proclaim a muslim caliphate by all the african people.;x;
form_usa_title;The Union of America!;x;
form_usa_desc;We control the east coast, the territories that one day belongs to the thirteen colonies. We must unify them into an union of states, so, we will be a step closer to the union of all America.;x;
form_csa_title;Establish the Confederacy;x;
form_csa_desc;We control all the dixie lands, with our power, we must establish a confederacy to all the dixies.;x;
accept_the_afroamericans_title;Accept the Afroamericans;x;
accept_the_afroamericans_desc;Now that we abolish the slavery, the black population must be accepted and considered our people.;x; 
form_mexico_title;Unite the great Mexico;x;
form_mexico_desc;From the deserts of the north to the jungles of the south, our nation control all these lands, much more of the ancient mexicas, now we can unite them into a great nation knowed as, Mexico;x;
form_colombia_title;The motherland of Bolivar;x;
form_colombia_desc;In honor of Simon Bolivar and his motherland, we must unify and put order on this lands, then, we will establish, the nation of Colombia;x;
form_venezuela_title;Unify Venezuela;x;
form_venezuela_desc;This precious lands are actually divided and weak, our duty is unify them and form the strong state of Venezuela;x;
form_sweden_title;Av de gamla svenskarna!;x;
form_sweden_desc;Long time ago, Sweden was a proud nation, and our warrious were famous and feared in equal parts. We had the indisputable hegemony over all Scandinavia, and all Europe were frightened of our power, but the Swedish Empire fell slowly because of our enemies. Our duty is to revive the Swedish nation and inculcate all our people the swedish spirit, then, all Europe will fear our return.;x;
form_finland_title;Suomen kansallemme!;x;
form_finland_desc;Our people has suffered multiple abuses and misfortunes in our history, the finnish people deserves a strong state that represents and protect them.;x;
form_brazil_title;Por o nosso imperio;x;
form_brazil_desc;The Brazilian lands were discovered by the portugese long ago, later, Brazil converted into the core of the Portuguese Empire. After the independece, our lands remained controlled by the strong Brazilian Empire. We were the greatest country of South America and a powerful country on the global scene. We must to reunify Brazil and resume that splendor;x;
form_peru_title;Por el gran Peru!;x;
form_peru_desc;From Ecuador to Atacama, all the lands belongs to our country, the great Peru, and we must revindicate this, unifying them. With this, we'll stablish one of the most powers of South America, and later we'll see an union with Bolivia, to form the greatest power of the continent.;x;
form_bolivia_title;The proud of Bolivar;x;
form_bolivia_desc;The lands of Bolivia are named like that because Simon Bolivar, the libertator of the hispanic America. We must unify them into a strong state to honor his legacy. After that we'll see an union with Peru to stablish the greatest power of south America.;x;
unite_peru_n_bolivia_title;An Andine Confederation;x;
unite_peru_n_bolivia_desc;Our influence extends over all the peruvian and bolivian lands, our duty is to unify these two countries into a confederation that will be the most powerful country of all South America;x;
establish_aztec_title;Establish the Aztec Empire;x;
establish_aztec_desc;As a great power, we can reclaim all the old lands that our ancestors, the aztecs, conquered, and establish the aztec empire as a mayor power.;x;
establish_tawantinsuyu_title;Establish Tawantinsuyu;x;
establish_tawantinsuyu_desc;With us established as a great power, we can reclaim the antiquish inca lands and reunify them into a single Inca state with the name of Tawantinsuyu.;x;
form_chile_title;The O'Higgins' Dream;x;
form_chile_desc;Once, Chile was a proud and great nation, thanks to our libertator, Bernardo O'Higgins, he funded this nation and builded our identity. Now, with all Chile in our control, we must revive this dream, and form Chile as a great country again.;x;
form_argentina_title;The Jewel of La Plata;x;
form_argentina_desc;Argentina was the richest country of southamerica, and the second most powerfull, our country deserves to be great again. Now that we control all this lands, the jewel of 'La Plata' will shine again.;x;
